Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size						epoch	train mAP	test mAP
20_()	14.1G	0.9166	0.6443	1.086	137	320:00:00	100% 63/63	[01:	"39<00:00,  1.57s/it]"			20_()	0.98	0.972
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:05<00:00,"	2.03s/it]				
	all	5292	10764	0.942	0.936	0.98	0.802							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:12<00:00,"	1.85s/it]				
	all	1086	2161	0.93	0.931	0.972	0.8							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
21_()	14.1G	0.9039	0.6304	1.08	78	320:00:00	100% 63/63	[01:	"41<00:00,  1.61s/it]"			21_()	0.975	0.964
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:04<00:00,"	2.00s/it]				
	all	5292	10764	0.937	0.93	0.975	0.805							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:13<00:00,"	1.98s/it]				
	all	1086	2161	0.916	0.911	0.964	0.806							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
22_()	14.1G	0.9097	0.643	1.082	81	320:00:00	100% 63/63	[01:	"37<00:00,  1.56s/it]"			22_()	0.971	0.96
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:06<00:00,"	2.07s/it]				
	all	5292	10764	0.929	0.928	0.971	0.795							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:12<00:00,"	1.81s/it]				
	all	1086	2161	0.924	0.912	0.96	0.789							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
23_()	14.1G	0.907	0.6249	1.079	108	320:00:00	100% 63/63	[01:	"42<00:00,  1.62s/it]"			23_()	0.97	0.955
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:04<00:00,"	2.02s/it]				
	all	5292	10764	0.933	0.919	0.97	0.8							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:13<00:00,"	1.97s/it]				
	all	1086	2161	0.929	0.9	0.955	0.789							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
24_()	14.1G	0.9007	0.6179	1.074	96	320:00:00	100% 63/63	[01:	"39<00:00,  1.58s/it]"			24_()	0.966	0.958
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:05<00:00,"	2.05s/it]				
	all	5292	10764	0.928	0.895	0.966	0.785							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:13<00:00,"	1.92s/it]				
	all	1086	2161	0.913	0.895	0.958	0.786							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
25_()	14.1G	0.8894	0.6036	1.078	114	320:00:00	100% 63/63	[01:	"40<00:00,  1.60s/it]"			25_()	0.983	0.975
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:08<00:00,"	2.13s/it]				
	all	5292	10764	0.95	0.94	0.983	0.818							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:12<00:00,"	1.78s/it]				
	all	1086	2161	0.938	0.917	0.975	0.823							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
26_()	14.1G	0.8915	0.6089	1.077	93	320:00:00	100% 63/63	[01:	"41<00:00,  1.61s/it]"			26_()	0.983	0.971
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:04<00:00,"	2.00s/it]				
	all	5292	10764	0.955	0.946	0.983	0.807							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:14<00:00,"	2.05s/it]				
	all	1086	2161	0.94	0.907	0.971	0.803							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
27_()	14.1G	0.8812	0.5901	1.064	125	320:00:00	100% 63/63	[01:	"38<00:00,  1.56s/it]"			27_()	0.984	0.969
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:05<00:00,"	2.05s/it]				
	all	5292	10764	0.95	0.95	0.984	0.813							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:12<00:00,"	1.86s/it]				
	all	1086	2161	0.95	0.906	0.969	0.802							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
28_()	14.1G	0.8739	0.583	1.052	97	320:00:00	100% 63/63	[01:	"44<00:00,  1.66s/it]"			28_()	0.983	0.965
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:07<00:00,"	2.11s/it]				
	all	5292	10764	0.948	0.942	0.983	0.815							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:15<00:00,"	2.19s/it]				
	all	1086	2161	0.921	0.91	0.965	0.8							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
29_()	14.1G	0.8707	0.5832	1.054	87	320:00:00	100% 63/63	[01:	"43<00:00,  1.65s/it]"			29_()	0.975	0.962
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:07<00:00,"	2.12s/it]				
	all	5292	10764	0.927	0.933	0.975	0.812							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:15<00:00,"	2.24s/it]				
	all	1086	2161	0.921	0.904	0.962	0.804							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
30_()	14.1G	0.8681	0.5774	1.059	77	320:00:00	100% 63/63	[01:	"37<00:00,  1.56s/it]"			30_()	0.982	0.965
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:05<00:00,"	2.04s/it]				
	all	5292	10764	0.949	0.942	0.982	0.808							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:15<00:00,"	2.24s/it]				
	all	1086	2161	0.934	0.911	0.965	0.796							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
31_()	14.1G	0.8579	0.5717	1.051	95	320:00:00	100% 63/63	[01:	"37<00:00,  1.55s/it]"			31_()	0.987	0.972
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:04<00:00,"	2.03s/it]				
	all	5292	10764	0.957	0.946	0.987	0.826							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:16<00:00,"	2.41s/it]				
	all	1086	2161	0.929	0.917	0.972	0.817							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
32_()	14.1G	0.8596	0.5713	1.059	68	320:00:00	100% 63/63	[01:	"35<00:00,  1.52s/it]"			32_()	0.973	0.959
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:06<00:00,"	2.08s/it]				
	all	5292	10764	0.924	0.933	0.973	0.803							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:15<00:00,"	2.28s/it]				
	all	1086	2161	0.913	0.918	0.959	0.793							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
33_()	14.1G	0.8628	0.5729	1.065	115	320:00:00	100% 63/63	[01:	"37<00:00,  1.54s/it]"			33_()	0.986	0.972
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:03<00:00,"	2.00s/it]				
	all	5292	10764	0.955	0.954	0.986	0.827							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:15<00:00,"	2.24s/it]				
	all	1086	2161	0.946	0.921	0.972	0.821							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
34_()	14.1G	0.8535	0.5612	1.053	108	320:00:00	100% 63/63	[01:	"37<00:00,  1.54s/it]"			34_()	0.985	0.974
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:04<00:00,"	2.01s/it]				
	all	5292	10764	0.957	0.952	0.985	0.836							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:16<00:00,"	2.33s/it]				
	all	1086	2161	0.952	0.927	0.974	0.826							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
35_()	14.1G	0.8468	0.5509	1.05	100	320:00:00	100% 63/63	[01:	"35<00:00,  1.52s/it]"			35_()	0.99	0.972
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:07<00:00,"	2.10s/it]				
	all	5292	10764	0.965	0.963	0.99	0.833							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:16<00:00,"	2.32s/it]				
	all	1086	2161	0.934	0.92	0.972	0.819							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
36_()	14.1G	0.8447	0.5529	1.048	104	320:00:00	100% 63/63	[01:	"36<00:00,  1.53s/it]"			36_()	0.989	0.979
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:04<00:00,"	2.00s/it]				
	all	5292	10764	0.965	0.959	0.989	0.833							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:15<00:00,"	2.24s/it]				
	all	1086	2161	0.949	0.935	0.979	0.827							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
37_()	14.1G	0.8412	0.5474	1.042	103	320:00:00	100% 63/63	[01:	"36<00:00,  1.53s/it]"			37_()	0.988	0.974
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:08<00:00,"	2.15s/it]				
	all	5292	10764	0.963	0.955	0.988	0.833							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:14<00:00,"	2.07s/it]				
	all	1086	2161	0.941	0.924	0.974	0.817							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
38_()	14.1G	0.8399	0.5489	1.048	99	320:00:00	100% 63/63	[01:	"38<00:00,  1.57s/it]"			38_()	0.989	0.972
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:04<00:00,"	2.03s/it]				
	all	5292	10764	0.963	0.961	0.989	0.836							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:15<00:00,"	2.23s/it]				
	all	1086	2161	0.943	0.932	0.972	0.82							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
39_()	14.1G	0.8312	0.5443	1.038	70	320:00:00	100% 63/63	[01:	"37<00:00,  1.55s/it]"			39_()	0.99	0.982
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:06<00:00,"	2.07s/it]				
	all	5292	10764	0.966	0.964	0.99	0.843							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:13<00:00,"	1.91s/it]				
	all	1086	2161	0.945	0.948	0.982	0.836							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
40_()	14.1G	0.835	0.5341	1.038	100	320:00:00	100% 63/63	[01:	"41<00:00,  1.60s/it]"			40_()	0.99	0.976
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:06<00:00,"	2.08s/it]				
	all	5292	10764	0.965	0.962	0.99	0.844							
results_val														
